model,snr_db,frequency,precision,recall,f1_score,support,accuracy
SVM,0,40Hz,0.3333333333333333,0.0072463768115942,0.0141843971631205,138,0.7822164948453608
SVM,0,50Hz,0.0,0.0,0.0,29,0.7822164948453608
SVM,0,60Hz,0.7849740932642487,0.9950738916256158,0.8776249094858798,609,0.7822164948453608
RandomForest,0,40Hz,0.1111111111111111,0.0081967213114754,0.015267175572519,122,0.7899484536082474
RandomForest,0,50Hz,0.0,0.0,0.0,33,0.7899484536082474
RandomForest,0,60Hz,0.8020969855832241,0.9855072463768116,0.884393063583815,621,0.7899484536082474
k-NN,0,40Hz,0.2195121951219512,0.0762711864406779,0.1132075471698113,118,0.7744845360824743
k-NN,0,50Hz,0.3333333333333333,0.0625,0.1052631578947368,32,0.7744845360824743
k-NN,0,60Hz,0.8093278463648834,0.9424920127795527,0.8708487084870848,626,0.7744845360824743
XGBoost,0,40Hz,0.1538461538461538,0.0175438596491228,0.0314960629921259,114,0.7989690721649485
XGBoost,0,50Hz,0.0,0.0,0.0,33,0.7989690721649485
XGBoost,0,60Hz,0.8110236220472441,0.9825119236883942,0.888569374550683,629,0.7989690721649485
